65,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,24,"Action, Adventure, Drama, Shounen, Supernatural",8.60
66,Gintama Movie: Shinyaku Benizakura-hen,1,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",8.59
67,Hellsing Ultimate,10,"Action, Horror, Military, Seinen, Supernatural, Vampire",8.59
68,Kiseijuu: Sei no Kakuritsu,24,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",8.59
69,Shouwa Genroku Rakugo Shinjuu,13,"Drama, Historical, Josei",8.59
70,Uchuu Kyoudai,99,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",8.59
71,Bakemono no Ko,1,"Adventure, Supernatural",8.58
72,Hotaru no Haka,1,"Drama, Historical",8.58
73,Kuroko no Basket 2nd Season,25,"Comedy, School, Shounen, Sports",8.58
74,Major S5,25,"Comedy, Drama, Romance, Sports",8.58
75,One Piece,Unknown,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",8.58
76,Ghost in the Shell: Stand Alone Complex 2nd GIG,26,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",8.57
77,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,39,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",8.57
78,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),1,"Action, Mystery, Romance, Supernatural, Thriller",8.57
79,Kingdom 2nd Season,39,"Action, Historical, Military, Seinen",8.57
80,Slam Dunk,101,"Comedy, Drama, School, Shounen, Sports",8.56
81,Usagi Drop,11,"Josei, Slice of Life",8.56
82,Girls und Panzer der Film,1,"Military, School",8.55
83,Mob Psycho 100,12,"Action, Comedy, Slice of Life, Supernatural",8.55
84,Nana,47,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",8.55
85,Baccano!,13,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",8.54
86,Mushishi Zoku Shou: Odoro no Michi,1,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",8.54
87,Shingeki no Kyojin,25,"Action, Drama, Fantasy, Shounen, Super Power",8.54
88,Bakuman. 2nd Season,25,"Comedy, Drama, Romance, Shounen",8.53
89,Cross Game,50,"Comedy, Drama, Romance, School, Sports",8.53
90,Doukyuusei (Movie),1,"Romance, School, Shounen Ai, Slice of Life",8.53
91,Evangelion: 2.0 You Can (Not) Advance,1,"Action, Mecha, Sci-Fi",8.53
92,Shinsekai yori,25,"Drama, Horror, Mystery, Sci-Fi, Supernatural",8.53
93,Uchuu Senkan Yamato 2199,26,"Action, Drama, Military, Sci-Fi, Space",8.53
94,Chihayafuru 2,25,"Drama, Game, Josei, Slice of Life, Sports",8.52
95,Fate/Zero,13,"Action, Fantasy, Supernatural",8.51
96,JoJo no Kimyou na Bouken (TV),26,"Action, Adventure, Shounen, Supernatural, Vampire",8.51
97,Mahou Shoujo Madoka★Magica,12,"Drama, Magic, Psychological, Thriller",8.51
98,Nichijou,26,"Comedy, School, Slice of Life",8.52
99,Psycho-Pass,22,"Action, Police, Psychological, Sci-Fi",8.50
100,Barakamon,12,"Comedy, Slice of Life",8.50
101,Diamond no Ace: Second Season,51,"Comedy, School, Shounen, Sports",8.50
102,Magi: The Kingdom of Magic,25,"Action, Adventure, Fantasy, Magic, Shounen",8.50
103,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,1,"Drama, Magic, Psychological, Thriller",8.50
104,Major: World Series,2,"Comedy, Drama, Sports",8.50
105,Samurai Champloo,26,"Action, Adventure, Comedy, Historical, Samurai, Shounen",8.50
106,Shokugeki no Souma: Ni no Sara,13,"Ecchi, School, Shounen",8.50
107,Katanagatari,12,"Action, Adventure, Historical, Martial Arts, Romance",8.49
108,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,1,"Drama, Magic, Psychological, Thriller",8.49
109,Major S6,25,"Comedy, Drama, Sports",8.49
110,Mononoke,12,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",8.49
111,Shirobako,24,"Comedy, Drama",8.49
112,Ashita no Joe 2,47,"Drama, Sports",8.48
113,Hunter x Hunter,62,"Action, Adventure, Shounen, Super Power",8.48
114,Noragami Aragoto,13,"Action, Adventure, Shounen, Supernatural",8.48
115,Sakamichi no Apollon,12,"Drama, Josei, Music, Romance, School",8.48
116,Tonari no Totoro,1,"Adventure, Comedy, Supernatural",8.48
117,Ghost in the Shell: Stand Alone Complex,26,"Action, Mecha, Military, Police, Sci-Fi, Seinen",8.47
118,Kaze no Tani no Nausicaä,1,"Adventure, Fantasy",8.47
119,No Game No Life,12,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",8.47
120,Romeo no Aoi Sora,33,"Adventure, Drama, Historical, Slice of Life",8.47
121,Yuu☆Yuu☆Hakusho,112,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",8.47
122,Kino no Tabi: The Beautiful World,13,"Action, Adventure, Slice of Life",8.46
123,Kuroko no Basket,25,"Comedy, School, Shounen, Sports",8.46
124,Nodame Cantabile,23,"Comedy, Drama, Josei, Music, Romance, Slice of Life",8.46
125,Ookami to Koushinryou II,12,"Adventure, Fantasy, Historical, Romance",8.46
126,Shingeki no Kyojin: Kuinaki Sentaku,2,"Action, Fantasy, Shoujo, Supernatural",8.45
127,Steins;Gate: Oukoubakko no Poriomania,1,"Sci-Fi, Thriller",8.46
128,Fate/stay night: Unlimited Blade Works 2nd Season,13,"Action, Fantasy, Magic, Shounen, Supernatural",8.45
129,Kemono no Souja Erin,50,"Drama, Fantasy",8.45
130,Kizumonogatari I: Tekketsu-hen,1,"Mystery, Supernatural, Vampire",8.45
131,Neon Genesis Evangelion: The End of Evangelion,1,"Dementia, Drama, Mecha, Psychological, Sci-Fi",8.45
132,Toradora!,25,"Comedy, Romance, School, Slice of Life",8.45
133,Toki wo Kakeru Shoujo,1,"Adventure, Drama, Romance, Sci-Fi",8.44
134,Tsubasa: Tokyo Revelations,3,"Action, Adventure, Drama, Fantasy, Romance, Shounen",8.44
135,Owarimonogatari,12,"Comedy, Mystery, Supernatural",8.43
136,Rurouni Kenshin: Meiji Kenkaku Romantan,94,"Action, Adventure, Comedy, Historical, Romance, Samurai",8.43
137,Stranger: Mukou Hadan,1,"Action, Adventure, Historical, Samurai",8.43
138,Detective Conan Movie 06: The Phantom of Baker Street,1,"Adventure, Mystery, Police, Shounen",8.42
139,Fate/stay night: Unlimited Blade Works,12,"Action, Fantasy, Magic, Shounen, Supernatural",8.42
140,Major S1,26,"Comedy, Drama, Shounen, Sports",8.42
141,Mobile Suit Gundam: The Origin,6,"Action, Mecha, Military, Sci-Fi, Shounen, Space",8.42
142,Nanatsu no Taizai,24,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",8.42
143,Natsume Yuujinchou,13,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",8.42
144,One Piece Film: Strong World,1,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",8.42
145,Higurashi no Naku Koro ni Kai,24,"Mystery, Psychological, Supernatural, Thriller",8.41
146,Hunter x Hunter OVA,8,"Action, Adventure, Shounen, Super Power",8.41
147,Hunter x Hunter: Greed Island Final,14,"Action, Adventure, Shounen, Super Power",8.41
148,Kuroshitsuji: Book of Murder,2,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",8.41
149,Major S2,26,"Comedy, Drama, Shounen, Sports",8.41
150,One Outs,25,"Psychological, Seinen, Sports",8.41
151,Beck,26,"Comedy, Drama, Music, Shounen, Slice of Life",8.40
152,Berserk,25,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",8.40
153,Cowboy Bebop: Tengoku no Tobira,1,"Action, Drama, Mystery, Sci-Fi, Space",8.40
154,Major S3,26,"Drama, Shounen, Sports",8.40
155,Mobile Suit Gundam Unicorn,7,"Action, Drama, Mecha, Military, Sci-Fi, Space",8.40
156,Natsume Yuujinchou: Itsuka Yuki no Hi ni,1,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",8.40
157,NHK ni Youkoso!,24,"Comedy, Drama, Psychological, Romance",8.40
158,Rose of Versailles,40,"Adventure, Drama, Historical, Romance, Shoujo",8.40
159,Sakurasou no Pet na Kanojo,24,"Comedy, Drama, Romance, School, Slice of Life",8.40
160,Angel Beats!,13,"Action, Comedy, Drama, School, Supernatural",8.39
161,Bakemonogatari,15,"Mystery, Romance, Supernatural, Vampire",8.39
162,Bungou Stray Dogs 2nd Season,12,"Mystery, Seinen, Supernatural",8.39
163,Hajime no Ippo: Champion Road,1,"Comedy, Shounen, Sports",8.39
164,One Piece Film: Z,1,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",8.39
165,Ouran Koukou Host Club,26,"Comedy, Harem, Romance, School, Shoujo",8.39
166,Detective Conan Movie 13: The Raven Chaser,1,"Action, Mystery, Police, Shounen",8.38
167,Durarara!!,24,"Action, Mystery, Supernatural",8.38
168,Nodame Cantabile Finale,11,"Comedy, Josei, Music, Romance",8.38
169,Planetes,26,"Drama, Romance, Sci-Fi, Seinen, Space",8.38
170,Shelter,1,"Music, Sci-Fi",8.38
171,Tenkuu no Shiro Laputa,1,"Adventure, Fantasy, Romance, Sci-Fi",8.38
172,Gintama: Shiroyasha Koutan,1,"Action, Comedy, Historical, Parody, Sci-Fi",8.37
173,Hachimitsu to Clover II,12,"Drama, Josei, Romance",8.37
174,InuYasha: Kanketsu-hen,26,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",8.37
175,Kaguya-hime no Monogatari,1,"Fantasy, Historical",8.37
176,Katekyo Hitman Reborn!,203,"Action, Comedy, Shounen, Super Power",8.37
177,Kuroshitsuji: Book of Circus,10,"Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",8.37
178,Ookami to Koushinryou,13,"Adventure, Fantasy, Historical, Romance",8.37
179,Boku no Hero Academia,13,"Action, Comedy, School, Shounen, Super Power",8.36
180,Gin no Saji 2nd Season,11,"Comedy, School, Shounen, Slice of Life",8.36
181,Little Busters!: Refrain,13,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",8.36
182,Major: Message,1,"Comedy, Drama, Sports",8.36
183,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,13,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",8.36
184,SKET Dance,77,"Comedy, School, Shounen",8.36
185,Bakuman.,25,"Comedy, Romance, Shounen",8.35
186,Danshi Koukousei no Nichijou,12,"Comedy, School, Shounen, Slice of Life",8.35
187,Kotonoha no Niwa,1,"Drama, Psychological, Romance, Slice of Life",8.35
188,Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen,1,"Fantasy, Slice of Life, Supernatural",8.35
189,Major S4,26,"Comedy, Drama, Shounen, Sports",8.35
190,Omoide no Marnie,1,"Drama, Mystery, Psychological",8.35
191,Working!!!: Lord of the Takanashi,1,"Comedy, Romance, Slice of Life",8.34
192,Ghost in the Shell,1,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",8.34
193,K-On! Movie,1,"Comedy, Music, Slice of Life",8.34
194,Kuroko no Basket: Saikou no Present Desu,1,"Action, School, Shounen, Sports",8.34
195,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s,1,"Action, Comedy, Drama, Magic, Super Power",8.34
196,Sennen Joyuu,1,"Action, Adventure, Drama, Fantasy, Historical, Romance",8.34
197,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,1,"Sci-Fi, Thriller",8.34
198,xxxHOLiC Kei,13,"Comedy, Drama, Mystery, Psychological, Supernatural",8.34
199,Berserk: Ougon Jidai-hen III - Kourin,1,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",8.33
200,Death Parade,12,"Drama, Game, Mystery, Psychological, Thriller",8.33
201,Fullmetal Alchemist,51,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",8.33
202,Gyakkyou Burai Kaiji: Ultimate Survivor,26,"Game, Psychological, Seinen, Thriller",8.33
203,Hunter x Hunter: Greed Island,8,"Action, Adventure, Shounen, Super Power",8.33
204,Redline,1,"Action, Cars, Sci-Fi, Sports",8.33
205,Chihayafuru,25,"Drama, Game, Josei, Slice of Life, Sports",8.32
206,Detective Conan Movie 20: The Darkest Nightmare,1,"Action, Mystery, Police, Shounen",8.32
207,Dragon Ball Z,291,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",8.32
208,Fate/stay night: Unlimited Blade Works - Prologue,1,"Action, Fantasy, Magic, Shounen, Supernatural",8.32
209,Kokoro ga Sakebitagatterunda.,1,"Drama, Romance, School",8.32
210,Mimi wo Sumaseba,1,"Adventure, Drama, Fantasy, Romance, Slice of Life",8.32
211,Nagi no Asukara,26,"Drama, Fantasy, Romance",8.32
212,Neon Genesis Evangelion,26,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",8.32
213,One Piece Film: Gold,1,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",8.32
214,Tokyo Godfathers,1,"Comedy, Drama",8.32
215,Trigun,26,"Action, Comedy, Sci-Fi",8.32
216,xxxHOLiC Rou,2,"Mystery, Supernatural",8.32
217,Gintama: Shinyaku Benizakura-hen,1,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",8.31
218,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,1,"Drama, Magic, Psychological, Thriller",8.31
219,Sekaiichi Hatsukoi 2,12,"Comedy, Drama, Romance, Shounen Ai",8.31
220,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,13,"Comedy, Drama, Romance, School",8.31
221,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,1,"Comedy, Romance, School",8.31
222,Aria The Natural,26,"Fantasy, Sci-Fi, Shounen, Slice of Life",8.30
223,Black Lagoon: The Second Barrage,12,"Action, Seinen",8.30
224,Clannad,23,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",8.30
225,Kami nomi zo Shiru Sekai: Megami-hen,12,"Comedy, Harem, Romance, Shounen, Supernatural",8.30
226,Summer Wars,1,"Comedy, Sci-Fi",8.30
227,Baccano! Specials,3,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",8.29
228,Detective Conan Movie 14: The Lost Ship in the Sky,1,"Action, Mystery, Police, Shounen",8.29
229,Gyakkyou Burai Kaiji: Hakairoku-hen,26,"Game, Psychological, Seinen, Thriller",8.29
230,Initial D Final Stage,4,"Cars, Seinen, Sports",8.29
231,Kaiba,12,"Adventure, Mystery, Romance, Sci-Fi",8.29
232,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,1,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",8.29
233,Saiki Kusuo no Ψ-nan (TV),120,"Comedy, School, Shounen, Supernatural",8.29
234,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,1,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo",8.28
235,Hajime no Ippo: Mashiba vs. Kimura,1,"Comedy, Shounen, Sports",8.28
236,Kamisama Hajimemashita◎,12,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",8.28
237,Skip Beat!,25,"Comedy, Drama, Romance, Shoujo",8.28
238,Yowamushi Pedal: Grande Road,24,"Comedy, Drama, Shounen, Sports",8.28
239,Gankutsuou,24,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",8.27
240,Majo no Takkyuubin,1,"Adventure, Comedy, Drama, Fantasy, Magic, Romance",8.27
241,Nodame Cantabile: Paris-hen,11,"Comedy, Josei, Music, Romance, Slice of Life",8.27
242,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,1,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",8.27
243,Osomatsu-san,25,"Comedy, Parody",8.27
244,Space☆Dandy 2nd Season,13,"Comedy, Sci-Fi, Space",8.27
245,Tsumiki no Ie,1,Drama,8.27
246,Detroit Metal City,12,"Comedy, Music",8.26
247,Eve no Jikan,6,"Sci-Fi, Slice of Life",8.26
248,Eve no Jikan (Movie),1,"Sci-Fi, Slice of Life",8.26
249,Kaichou wa Maid-sama!,26,"Comedy, Romance, School, Shoujo",8.26
250,Saint Seiya: Meiou Hades Juuni Kyuu-hen,13,"Adventure, Sci-Fi, Shounen",8.26
251,Zankyou no Terror,11,"Psychological, Thriller",8.26
252,Darker than Black: Kuro no Keiyakusha,25,"Action, Mystery, Sci-Fi, Super Power",8.25
253,Detective Conan,Unknown,"Adventure, Comedy, Mystery, Police, Shounen",8.25
254,Detective Conan Movie 05: Countdown to Heaven,1,"Adventure, Comedy, Mystery, Police, Shounen",8.25
255,Diamond no Ace,75,"Comedy, School, Shounen, Sports",8.25
256,Fairy Tail (2014),102,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",8.25
257,Hibike! Euphonium 2,13,"Drama, Music, School",8.25
258,JoJo no Kimyou na Bouken: Stardust Crusaders,24,"Action, Adventure, Drama, Shounen, Supernatural",8.25
259,Maison Ikkoku,96,"Comedy, Drama, Romance, Slice of Life",8.25
260,Non Non Biyori Repeat,12,"Comedy, School, Seinen, Slice of Life",8.26
261,Shijou Saikyou no Deshi Kenichi,50,"Action, Comedy, Martial Arts, School, Shounen",8.25
262,Yuusha-Ou GaoGaiGar Final,8,"Adventure, Drama, Mecha, Sci-Fi, Shounen",8.25
263,Gekkan Shoujo Nozaki-kun,12,"Comedy, Romance, School",8.24
264,Initial D Fourth Stage,24,"Action, Cars, Drama, Seinen, Sports",8.24
265,Junjou Romantica 2,12,"Comedy, Drama, Romance, Shounen Ai",8.24
266,Kaze Tachinu,1,"Drama, Historical, Romance",8.24
267,Kingdom,38,"Action, Historical, Military, Seinen",8.24
268,Kuragehime,11,"Comedy, Josei, Slice of Life",8.24
269,Magi: The Labyrinth of Magic,25,"Action, Adventure, Fantasy, Magic, Shounen",8.24
270,Mobile Suit Gundam 00,25,"Action, Drama, Mecha, Military, Sci-Fi, Space",8.24
271,ReLIFE,13,"Romance, School, Slice of Life",8.24
272,Saint Seiya: The Lost Canvas - Meiou Shinwa,13,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",8.24
273,Seirei no Moribito,26,"Action, Adventure, Fantasy, Historical",8.24
274,Akatsuki no Yona,24,"Action, Adventure, Comedy, Fantasy, Romance, Shoujo",8.23
275,Detective Conan Movie 08: Magician of the Silver Sky,1,"Adventure, Comedy, Mystery, Police, Shounen",8.23
276,Durarara!!x2 Ketsu,12,"Action, Mystery, Supernatural",8.23
277,Free!: Eternal Summer Special,1,"Comedy, School, Slice of Life",8.23
278,Glass no Kamen (2005),51,"Drama, Shoujo",8.23
279,Gosick,24,"Drama, Historical, Mystery, Romance",8.23
280,Hajime no Ippo: Boxer no Kobushi,1,"Comedy, Drama, Shounen, Sports",8.23
281,Initial D First Stage,26,"Action, Cars, Drama, Seinen, Sports",8.23
282,Kill la Kill,24,"Action, Comedy, School, Super Power",8.23
283,Lovely★Complex,24,"Comedy, Romance, Shoujo",8.23
284,Perfect Blue,1,"Dementia, Drama, Horror, Psychological",8.23
285,Princess Tutu,38,"Comedy, Fantasy, Magic, Romance",8.23
286,Sakasama no Patema,1,"Sci-Fi, Seinen",8.23
287,Tsubasa: Shunraiki,2,"Action, Adventure, Drama, Fantasy, Magic, Mystery, Romance, Shounen, Supernatural",8.23
288,Ashita no Joe,79,"Drama, Sports",8.22
289,Fairy Tail,175,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",8.22
290,Ghost in the Shell: Stand Alone Complex - Solid State Society,1,"Mecha, Military, Mystery, Police, Sci-Fi, Seinen",8.22
291,Magi: Sinbad no Bouken (TV),13,"Action, Adventure, Fantasy, Magic, Shounen",8.22
292,Shoujo Kakumei Utena,39,"Drama, Fantasy, Psychological, Shoujo",8.22
293,Tengen Toppa Gurren Lagann Movie: Gurren-hen,1,"Action, Comedy, Mecha",8.22
294,Detective Conan Movie 10: Requiem of the Detectives,1,"Adventure, Comedy, Mystery, Police, Shounen",8.21
295,Evangelion: 1.0 You Are (Not) Alone,1,"Action, Mecha, Sci-Fi",8.21
296,Full Metal Panic? Fumoffu,12,"Action, Comedy, School",8.21
297,Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,1,"Action, Drama, Military, Sci-Fi, Space",8.21
298,Kara no Kyoukai 3: Tsuukaku Zanryuu,1,"Action, Drama, Mystery, Supernatural, Thriller",8.21
299,Mobile Suit Gundam 00 Second Season,25,"Action, Drama, Mecha, Military, Sci-Fi, Space",8.21
300,Nisemonogatari,11,"Comedy, Mystery, Supernatural",8.21
301,Tsukimonogatari,4,"Comedy, Mystery, Supernatural",8.21
302,Ansatsu Kyoushitsu (TV),22,"Action, Comedy, School, Shounen",8.20
303,Aria The Avvenire,3,"Fantasy, Sci-Fi, Shounen, Slice of Life",8.20
304,Baby Steps 2nd Season,25,"Romance, School, Shounen, Sports",8.20
305,D.Gray-man,103,"Action, Adventure, Comedy, Shounen",8.20
306,"Ginga Eiyuu Densetsu Gaiden: Senoku no Hoshi, Senoku no Hikari",24,"Action, Military, Sci-Fi, Space",8.20
307,Gintama: Jump Festa 2014 Special,1,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",8.20
308,Lupin III: Cagliostro no Shiro,1,"Adventure, Comedy, Shounen",8.20
309,Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,25,"Action, Drama, Mecha, Sci-Fi, Space",8.20
310,Ookiku Furikabutte: Natsu no Taikai-hen,13,"Comedy, Sports",8.20
